index,adult,belongs_to_collection,budget,original_language,original_title,overview,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count,languages,day_of_week,month,season,year,has_homepage,genre,companies,countries
0,False,Toy Story Collection,30000000,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,1995-10-30,373554033.0,81.0,not available,Toy Story,7.7,5415.0,['English'],Monday,Oct,Q4,1995,YES,"['Animation', 'Comedy', 'Family']",['Pixar Animation Studios'],['United States of America']
1,False,not available,65000000,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,1995-12-15,262797249.0,104.0,Roll the dice and unleash the excitement!,Jumanji,6.9,2413.0,"['English', 'Français']",Friday,Dec,Q4,1995,NO,"['Adventure', 'Fantasy', 'Family']","['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America']
2,False,Grumpy Old Men Collection,0,en,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,1995-12-22,0.0,101.0,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,6.5,92.0,['English'],Friday,Dec,Q4,1995,NO,"['Romance', 'Comedy']","['Warner Bros.', 'Lancaster Gate']",['United States of America']
3,False,not available,16000000,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,1995-12-22,81452156.0,127.0,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,6.1,34.0,['English'],Friday,Dec,Q4,1995,NO,"['Comedy', 'Drama', 'Romance']",['Twentieth Century Fox Film Corporation'],['United States of America']
4,False,Father of the Bride Collection,0,en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,1995-02-10,76578911.0,106.0,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,5.7,173.0,['English'],Friday,Feb,Q1,1995,NO,['Comedy'],"['Sandollar Productions', 'Touchstone Pictures']",['United States of America']
5,False,not available,60000000,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,1995-12-15,187436818.0,170.0,A Los Angeles Crime Saga,Heat,7.7,1886.0,"['English', 'Español']",Friday,Dec,Q4,1995,NO,"['Action', 'Crime', 'Drama', 'Thriller']","['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America']
6,False,not available,58000000,en,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,1995-12-15,0.0,127.0,You are cordially invited to the most surprising merger of the year.,Sabrina,6.2,141.0,"['Français', 'English']",Friday,Dec,Q4,1995,NO,"['Comedy', 'Romance']","['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']","['Germany', 'United States of America']"
7,False,not available,0,en,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,1995-12-22,0.0,97.0,The Original Bad Boys.,Tom and Huck,5.4,45.0,"['English', 'Deutsch']",Friday,Dec,Q4,1995,NO,"['Action', 'Adventure', 'Drama', 'Family']",['Walt Disney Pictures'],['United States of America']
8,False,not available,35000000,en,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,1995-12-22,64350171.0,106.0,Terror goes into overtime.,Sudden Death,5.5,174.0,['English'],Friday,Dec,Q4,1995,NO,"['Action', 'Adventure', 'Thriller']","['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America']
9,False,James Bond Collection,58000000,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,1995-11-16,352194034.0,130.0,No limits. No fears. No substitutes.,GoldenEye,6.6,1194.0,"['English', 'Pусский', 'Español']",Thursday,Nov,Q4,1995,YES,"['Adventure', 'Action', 'Thriller']","['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']"
10,False,not available,62000000,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,1995-11-17,107879496.0,106.0,Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,199.0,['English'],Friday,Nov,Q4,1995,NO,"['Comedy', 'Drama', 'Romance']","['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America']
11,False,not available,0,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,1995-12-22,0.0,88.0,not available,Dracula: Dead and Loving It,5.7,210.0,"['English', 'Deutsch']",Friday,Dec,Q4,1995,NO,"['Comedy', 'Horror']","['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']","['France', 'United States of America']"
12,False,Balto Collection,0,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,1995-12-22,11348324.0,78.0,Part Dog. Part Wolf. All Hero.,Balto,7.1,423.0,['English'],Friday,Dec,Q4,1995,NO,"['Family', 'Animation', 'Adventure']","['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['United States of America']
13,False,not available,44000000,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,1995-12-22,13681765.0,192.0,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72.0,['English'],Friday,Dec,Q4,1995,NO,"['History', 'Drama']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America']
14,False,not available,98000000,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,1995-12-22,10017322.0,119.0,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,"['English', 'Latin']",Friday,Dec,Q4,1995,NO,"['Action', 'Adventure']","['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']"
